GALOUBET;.\\images\\galoubet.jpg;https://fr.wikipedia.org/wiki/galoubet
GAZOU;.\\images\\gazou.jpg;https://fr.wikipedia.org/wiki/gazou
GONG;.\\images\\gong.jpg;https://fr.wikipedia.org/wiki/gong
GRELOT;.\\images\\grelot.jpg;https://fr.wikipedia.org/wiki/grelot
GUITARE;.\\images\\guitare.jpg;https://fr.wikipedia.org/wiki/guitare
GUZLA;.\\images\\guzla.jpg;https://fr.wikipedia.org/wiki/guzla
HARMONIUM;.\\images\\harmonium.jpg;https://fr.wikipedia.org/wiki/harmonium
HARPE;.\\images\\harpe.jpg;https://fr.wikipedia.org/wiki/harpe
HELICON;.\\images\\helicon.jpg;https://fr.wikipedia.org/wiki/helicon
HEPTACORDE;.\\images\\heptacorde.jpg;https://fr.wikipedia.org/wiki/heptacorde
HOCHET;.\\images\\hochet.jpg;https://fr.wikipedia.org/wiki/hochet
HYDRAULE;.\\images\\hydraule.jpg;https://fr.wikipedia.org/wiki/hydraule
IDIOPHONE;.\\images\\idiophone.jpg;https://fr.wikipedia.org/wiki/idiophone
KORA;.\\images\\kora.jpg;https://fr.wikipedia.org/wiki/kora
LIMONAIRE;.\\images\\limonaire.jpg;https://fr.wikipedia.org/wiki/limonaire
LUTH;.\\images\\luth.jpg;https://fr.wikipedia.org/wiki/luth
LYRE;.\\images\\lyre.jpg;https://fr.wikipedia.org/wiki/lyre
MANDOLE;.\\images\\mandole.jpg;https://fr.wikipedia.org/wiki/mandole
MANDOLINE;.\\images\\mandoline.jpg;https://fr.wikipedia.org/wiki/mandoline
MARACA;.\\images\\maraca.jpg;https://fr.wikipedia.org/wiki/maraca
MARIMBA;.\\images\\marimba.jpg;https://fr.wikipedia.org/wiki/marimba
MELODICA;.\\images\\melodica.jpg;https://fr.wikipedia.org/wiki/melodica
MEMBRANOPHONE;.\\images\\membranophone.jpg;https://fr.wikipedia.org/wiki/membranophone
METALLOPHONE;.\\images\\metallophone.jpg;https://fr.wikipedia.org/wiki/metallophone
MEZOUED;.\\images\\mezoued.jpg;https://fr.wikipedia.org/wiki/mezoued
MONOCORDE;.\\images\\monocorde.jpg;https://fr.wikipedia.org/wiki/monocorde
MUSETTE;.\\images\\musette.jpg;https://fr.wikipedia.org/wiki/musette
NAY;.\\images\\nay.jpg;https://fr.wikipedia.org/wiki/nay
OCARINA;.\\images\\ocarina.jpg;https://fr.wikipedia.org/wiki/ocarina
OLIFANT;.\\images\\olifant.jpg;https://fr.wikipedia.org/wiki/olifant
OPHICLEIDE;.\\images\\ophicleide.jpg;https://fr.wikipedia.org/wiki/ophicleide
ORGUE;.\\images\\orgue.jpg;https://fr.wikipedia.org/wiki/orgue
PENTACORDE;.\\images\\pentacorde.jpg;https://fr.wikipedia.org/wiki/pentacorde
PIANO;.\\images\\piano.jpg;https://fr.wikipedia.org/wiki/piano
PIANOFORTE;.\\images\\pianoforte.jpg;https://fr.wikipedia.org/wiki/pianoforte
PIANOLA;.\\images\\pianola.jpg;https://fr.wikipedia.org/wiki/pianola
PIBROCK;.\\images\\pibrock.jpg;https://fr.wikipedia.org/wiki/pibrock
POCHE;.\\images\\poche.jpg;https://fr.wikipedia.org/wiki/poche
PORTATIF;.\\images\\portatif.jpg;https://fr.wikipedia.org/wiki/portatif
POSITIF;.\\images\\positif.jpg;https://fr.wikipedia.org/wiki/positif
PSALTERION;.\\images\\psalterion.jpg;https://fr.wikipedia.org/wiki/psalterion
QANUN;.\\images\\qanun.jpg;https://fr.wikipedia.org/wiki/qanun
RABAB;.\\images\\rabab.jpg;https://fr.wikipedia.org/wiki/rabab
